algo,metric,value
ML-DSA-65,keygen-wall-median-ns,125983.0
ML-DSA-65,keygen-wall-mean-ns,126605.4
ML-DSA-65,keygen-wall-std-ns,1933.4
ML-DSA-65,keygen-wall-p95-ns,131230.0
ML-DSA-65,keygen-wall-p99-ns,132858.0
ML-DSA-65,keygen-wall-ci95lo-ns,126337.5
ML-DSA-65,keygen-wall-ci95hi-ns,126873.4
ML-DSA-65,keygen-cyc-median,338578.0
ML-DSA-65,keygen-cyc-mean,340242.0
ML-DSA-65,keygen-persec,7937.6
ML-DSA-65,sign-iters,2000
ML-DSA-65,sign-wall-median-ns,497714.0
ML-DSA-65,sign-wall-mean-ns,609307.6
ML-DSA-65,sign-wall-std-ns,447443.3
ML-DSA-65,sign-wall-p95-ns,1537115.0
ML-DSA-65,sign-wall-p99-ns,2197515.0
ML-DSA-65,sign-wall-ci95lo-ns,589697.5
ML-DSA-65,sign-wall-ci95hi-ns,628917.7
ML-DSA-65,sign-cyc-median,1337800.0
ML-DSA-65,sign-cyc-mean,1637755.5
ML-DSA-65,sign-persec,2009.2
ML-DSA-65,verify-iters,2000
ML-DSA-65,verify-wall-median-ns,117218.0
ML-DSA-65,verify-wall-mean-ns,117235.8
ML-DSA-65,verify-wall-std-ns,893.7
ML-DSA-65,verify-wall-p95-ns,118334.0
ML-DSA-65,verify-wall-p99-ns,118865.0
ML-DSA-65,verify-wall-ci95lo-ns,117196.7
ML-DSA-65,verify-wall-ci95hi-ns,117275.0
ML-DSA-65,verify-cyc-median,315018.0
ML-DSA-65,verify-cyc-mean,315068.7
ML-DSA-65,verify-persec,8531.1
ML-DSA-65,size-key-bits,15616
ML-DSA-65,size-pubkey-bytes,1952
ML-DSA-65,size-privkey-bytes,4032
ML-DSA-65,size-signature-bytes,3309
ML-DSA-87,keygen-iters,200
ML-DSA-87,keygen-wall-median-ns,173808.0
ML-DSA-87,keygen-wall-mean-ns,173960.2
ML-DSA-87,keygen-wall-std-ns,1724.6
ML-DSA-87,keygen-wall-p95-ns,177240.0
ML-DSA-87,keygen-wall-p99-ns,180980.0
ML-DSA-87,keygen-wall-ci95lo-ns,173721.2
ML-DSA-87,keygen-wall-ci95hi-ns,174199.2
ML-DSA-87,keygen-cyc-median,467128.0
ML-DSA-87,keygen-cyc-mean,467534.2
ML-DSA-87,keygen-persec,5753.5
ML-DSA-87,sign-iters,2000
ML-DSA-87,sign-wall-median-ns,586173.0
ML-DSA-87,sign-wall-mean-ns,723840.2
ML-DSA-87,sign-wall-std-ns,455652.6
ML-DSA-87,sign-wall-p95-ns,1661438.0
ML-DSA-87,sign-wall-p99-ns,2346651.0
ML-DSA-87,sign-wall-ci95lo-ns,703870.4
ML-DSA-87,sign-wall-ci95hi-ns,743810.1
ML-DSA-87,sign-cyc-median,1575566.0
ML-DSA-87,sign-cyc-mean,1945604.0
ML-DSA-87,sign-persec,1706.0
ML-DSA-87,verify-iters,2000
ML-DSA-87,verify-wall-median-ns,183635.0
ML-DSA-87,verify-wall-mean-ns,183633.0
ML-DSA-87,verify-wall-std-ns,1318.5
ML-DSA-87,verify-wall-p95-ns,185194.0
ML-DSA-87,verify-wall-p99-ns,186716.0
ML-DSA-87,verify-wall-ci95lo-ns,183575.2
ML-DSA-87,verify-wall-ci95hi-ns,183690.8
ML-DSA-87,verify-cyc-median,493540.0
ML-DSA-87,verify-cyc-mean,493539.5
ML-DSA-87,verify-persec,5445.6
ML-DSA-87,size-key-bits,20736
ML-DSA-87,size-pubkey-bytes,2592
ML-DSA-87,size-privkey-bytes,4896
ML-DSA-87,size-signature-bytes,4627
rsa-7680,key-size,7680
rsa-7680,keygen-iters,100
rsa-7680,keygen-wall-median-ns,4342730102.0
rsa-7680,keygen-wall-mean-ns,4577978051.4
rsa-7680,keygen-wall-std-ns,2635680008.3
rsa-7680,keygen-wall-p95-ns,9650890998.0
rsa-7680,keygen-wall-p99-ns,11242303119.0
rsa-7680,keygen-wall-ci95lo-ns,4061384769.7
rsa-7680,keygen-wall-ci95hi-ns,5094571333.0
rsa-7680,keygen-cyc-median,11673258044.0
rsa-7680,keygen-cyc-mean,12305604396.7
rsa-7680,keygen-persec,0.2
rsa-7680,pss-sign-iters,100
rsa-7680,pss-sign-wall-median-ns,27947649.0
rsa-7680,pss-sign-wall-mean-ns,27987432.8
rsa-7680,pss-sign-wall-std-ns,394917.5
rsa-7680,pss-sign-wall-p95-ns,28226207.0
rsa-7680,pss-sign-wall-p99-ns,30084961.0
rsa-7680,pss-sign-wall-ci95lo-ns,27910029.0
rsa-7680,pss-sign-wall-ci95hi-ns,28064836.7
rsa-7680,pss-sign-cyc-median,75123096.0
rsa-7680,pss-sign-cyc-mean,75230130.5
rsa-7680,pss-sign-persec,35.8
rsa-7680,pss-verify-iters,100
rsa-7680,pss-verify-wall-median-ns,169417.0
rsa-7680,pss-verify-wall-mean-ns,169704.7
rsa-7680,pss-verify-wall-std-ns,861.1
rsa-7680,pss-verify-wall-p95-ns,171262.0
rsa-7680,pss-verify-wall-p99-ns,172158.0
rsa-7680,pss-verify-wall-ci95lo-ns,169535.9
rsa-7680,pss-verify-wall-ci95hi-ns,169873.5
rsa-7680,pss-verify-cyc-median,455338.0
rsa-7680,pss-verify-cyc-mean,456108.0
rsa-7680,pss-verify-persec,5902.6
rsa-7680,oaep-encrypt-iters,100
rsa-7680,oaep-encrypt-wall-median-ns,170569.0
rsa-7680,oaep-encrypt-wall-mean-ns,170773.9
rsa-7680,oaep-encrypt-wall-std-ns,1208.5
rsa-7680,oaep-encrypt-wall-p95-ns,172307.0
rsa-7680,oaep-encrypt-wall-p99-ns,174331.0
rsa-7680,oaep-encrypt-wall-ci95lo-ns,170537.0
rsa-7680,oaep-encrypt-wall-ci95hi-ns,171010.7
rsa-7680,oaep-encrypt-cyc-median,458432.0
rsa-7680,oaep-encrypt-cyc-mean,458980.4
rsa-7680,oaep-encrypt-persec,5862.7
rsa-7680,oaep-decrypt-iters,100
rsa-7680,oaep-decrypt-wall-median-ns,27923408.0
rsa-7680,oaep-decrypt-wall-mean-ns,27978713.8
rsa-7680,oaep-decrypt-wall-std-ns,371797.8
rsa-7680,oaep-decrypt-wall-p95-ns,28207499.0
rsa-7680,oaep-decrypt-wall-p99-ns,29897769.0
rsa-7680,oaep-decrypt-wall-ci95lo-ns,27905841.4
rsa-7680,oaep-decrypt-wall-ci95hi-ns,28051586.1
rsa-7680,oaep-decrypt-cyc-median,75058018.0
rsa-7680,oaep-decrypt-cyc-mean,75206703.4
rsa-7680,oaep-decrypt-persec,35.8
rsa-7680,size-key-bits,7680
rsa-7680,size-signature-bytes,960
rsa-15360,key-size,15360
rsa-15360,keygen-iters,100
rsa-15360,keygen-wall-median-ns,40478481154.0
rsa-15360,keygen-wall-mean-ns,49120572885.9
rsa-15360,keygen-wall-std-ns,34354617252.1
rsa-15360,keygen-wall-p95-ns,113052126277.0
rsa-15360,keygen-wall-p99-ns,154727044765.0
rsa-15360,keygen-wall-ci95lo-ns,42387067904.5
rsa-15360,keygen-wall-ci95hi-ns,55854077867.3
rsa-15360,keygen-cyc-median,108806152278.0
rsa-15360,keygen-cyc-mean,132036094545.1
rsa-15360,keygen-persec,0.0
rsa-15360,pss-sign-iters,100
rsa-15360,pss-sign-wall-median-ns,151998739.0
rsa-15360,pss-sign-wall-mean-ns,152192789.1
rsa-15360,pss-sign-wall-std-ns,1360948.2
rsa-15360,pss-sign-wall-p95-ns,152144203.0
rsa-15360,pss-sign-wall-p99-ns,159916912.0
rsa-15360,pss-sign-wall-ci95lo-ns,151926043.2
rsa-15360,pss-sign-wall-ci95hi-ns,152459534.9
rsa-15360,pss-sign-cyc-median,408572530.0
rsa-15360,pss-sign-cyc-mean,409094133.9
rsa-15360,pss-sign-persec,6.6
rsa-15360,pss-verify-iters,100
rsa-15360,pss-verify-wall-median-ns,667598.0
rsa-15360,pss-verify-wall-mean-ns,667548.8
rsa-15360,pss-verify-wall-std-ns,3124.7
rsa-15360,pss-verify-wall-p95-ns,673408.0
rsa-15360,pss-verify-wall-p99-ns,674616.0
rsa-15360,pss-verify-wall-ci95lo-ns,666936.3
