algo,metric,value
ML-KEM-768,decap-wall-mean-ns,127248.1
ML-KEM-768,decap-wall-std-ns,1699.1
ML-KEM-768,decap-wall-p95-ns,127445.0
ML-KEM-768,decap-wall-p99-ns,136463.0
ML-KEM-768,decap-wall-ci95lo-ns,127173.6
ML-KEM-768,decap-wall-ci95hi-ns,127322.5
ML-KEM-768,decap-cyc-median,6848.0
ML-KEM-768,decap-cyc-mean,6866.7
ML-KEM-768,decap-persec,7880.9
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-shared-secret-bytes,32
ML-KEM-1024,keygen-iters,1000
ML-KEM-1024,keygen-wall-median-ns,219167.0
ML-KEM-1024,keygen-wall-mean-ns,219967.0
ML-KEM-1024,keygen-wall-std-ns,4209.4
ML-KEM-1024,keygen-wall-p95-ns,228463.0
ML-KEM-1024,keygen-wall-p99-ns,232834.0
ML-KEM-1024,keygen-wall-ci95lo-ns,219706.1
ML-KEM-1024,keygen-wall-ci95hi-ns,220227.9
ML-KEM-1024,keygen-cyc-median,11829.0
ML-KEM-1024,keygen-cyc-mean,11871.7
ML-KEM-1024,keygen-persec,4562.7
ML-KEM-1024,encap-iters,2000
ML-KEM-1024,encap-wall-median-ns,108666.0
ML-KEM-1024,encap-wall-mean-ns,108984.0
ML-KEM-1024,encap-wall-std-ns,1827.7
ML-KEM-1024,encap-wall-p95-ns,109740.0
ML-KEM-1024,encap-wall-p99-ns,118167.0
ML-KEM-1024,encap-wall-ci95lo-ns,108903.9
ML-KEM-1024,encap-wall-ci95hi-ns,109064.1
ML-KEM-1024,encap-cyc-median,5863.0
ML-KEM-1024,encap-cyc-mean,5880.8
ML-KEM-1024,encap-persec,9202.5
ML-KEM-1024,decap-iters,2000
ML-KEM-1024,decap-wall-median-ns,165167.0
ML-KEM-1024,decap-wall-mean-ns,165569.9
ML-KEM-1024,decap-wall-std-ns,1925.9
ML-KEM-1024,decap-wall-p95-ns,166315.0
ML-KEM-1024,decap-wall-p99-ns,175074.0
ML-KEM-1024,decap-wall-ci95lo-ns,165485.5
ML-KEM-1024,decap-wall-ci95hi-ns,165654.3
ML-KEM-1024,decap-cyc-median,8916.0
ML-KEM-1024,decap-cyc-mean,8937.4
ML-KEM-1024,decap-persec,6054.5
ML-KEM-1024,size-key-bits,1024
ML-KEM-1024,size-pubkey-bytes,1568
ML-KEM-1024,size-privkey-bytes,3168
ML-KEM-1024,size-ciphertext-bytes,1568
ML-KEM-1024,size-shared-secret-bytes,32
ML-DSA-44,keygen-iters,1000
ML-DSA-44,keygen-wall-median-ns,458945.0
ML-DSA-44,keygen-wall-mean-ns,459952.7
ML-DSA-44,keygen-wall-std-ns,5840.6
ML-DSA-44,keygen-wall-p95-ns,469870.0
ML-DSA-44,keygen-wall-p99-ns,472796.0
ML-DSA-44,keygen-wall-ci95lo-ns,459590.7
ML-DSA-44,keygen-wall-ci95hi-ns,460314.7
ML-DSA-44,keygen-cyc-median,24776.0
ML-DSA-44,keygen-cyc-mean,24830.6
ML-DSA-44,keygen-persec,2178.9
ML-DSA-44,sign-iters,2000
ML-DSA-44,sign-wall-median-ns,2010463.0
ML-DSA-44,sign-wall-mean-ns,2639601.5
ML-DSA-44,sign-wall-std-ns,1799491.6
ML-DSA-44,sign-wall-p95-ns,6350333.0
ML-DSA-44,sign-wall-p99-ns,8766445.0
ML-DSA-44,sign-wall-ci95lo-ns,2560735.3
ML-DSA-44,sign-wall-ci95hi-ns,2718467.7
ML-DSA-44,sign-cyc-median,108556.0
ML-DSA-44,sign-cyc-mean,142530.7
ML-DSA-44,sign-persec,497.4
ML-DSA-44,verify-iters,2000
ML-DSA-44,verify-wall-median-ns,521926.0
ML-DSA-44,verify-wall-mean-ns,523461.4
ML-DSA-44,verify-wall-std-ns,5027.9
ML-DSA-44,verify-wall-p95-ns,531352.0
ML-DSA-44,verify-wall-p99-ns,532612.0
ML-DSA-44,verify-wall-ci95lo-ns,523241.0
ML-DSA-44,verify-wall-ci95hi-ns,523681.7
ML-DSA-44,verify-cyc-median,28179.0
ML-DSA-44,verify-cyc-mean,28261.0
ML-DSA-44,verify-persec,1916.0
ML-DSA-44,size-key-bits,10496
ML-DSA-44,size-pubkey-bytes,1312
ML-DSA-44,size-privkey-bytes,2560
ML-DSA-44,size-signature-bytes,2420
ML-DSA-65,keygen-iters,1000
ML-DSA-65,keygen-wall-median-ns,742167.0
ML-DSA-65,keygen-wall-mean-ns,743931.2
ML-DSA-65,keygen-wall-std-ns,4733.7
ML-DSA-65,keygen-wall-p95-ns,753222.0
ML-DSA-65,keygen-wall-p99-ns,757371.0
ML-DSA-65,keygen-wall-ci95lo-ns,743637.8
ML-DSA-65,keygen-wall-ci95hi-ns,744224.6
ML-DSA-65,keygen-cyc-median,40070.0
ML-DSA-65,keygen-cyc-mean,40165.4
ML-DSA-65,keygen-persec,1347.4
ML-DSA-65,sign-iters,2000
ML-DSA-65,sign-wall-median-ns,3522019.0
ML-DSA-65,sign-wall-mean-ns,4299606.2
ML-DSA-65,sign-wall-std-ns,3152084.9
ML-DSA-65,sign-wall-p95-ns,10903667.0
ML-DSA-65,sign-wall-p99-ns,16281185.0
ML-DSA-65,sign-wall-ci95lo-ns,4161460.0
ML-DSA-65,sign-wall-ci95hi-ns,4437752.4
ML-DSA-65,sign-cyc-median,190181.0
ML-DSA-65,sign-cyc-mean,232170.2
ML-DSA-65,sign-persec,283.9
ML-DSA-65,verify-iters,2000
ML-DSA-65,verify-wall-median-ns,791907.0
ML-DSA-65,verify-wall-mean-ns,793926.4
ML-DSA-65,verify-wall-std-ns,4343.1
ML-DSA-65,verify-wall-p95-ns,801556.0
ML-DSA-65,verify-wall-p99-ns,806148.0
ML-DSA-65,verify-wall-ci95lo-ns,793736.0
ML-DSA-65,verify-wall-ci95hi-ns,794116.7
ML-DSA-65,verify-cyc-median,42757.0
ML-DSA-65,verify-cyc-mean,42865.3
ML-DSA-65,verify-persec,1262.8
ML-DSA-65,size-key-bits,15616
ML-DSA-65,size-pubkey-bytes,1952
ML-DSA-65,size-privkey-bytes,4032
ML-DSA-65,size-signature-bytes,3309
ML-DSA-87,keygen-iters,1000
ML-DSA-87,keygen-wall-median-ns,1105370.0
ML-DSA-87,keygen-wall-mean-ns,1107419.7
ML-DSA-87,keygen-wall-std-ns,7785.0
ML-DSA-87,keygen-wall-p95-ns,1116889.0
ML-DSA-87,keygen-wall-p99-ns,1120630.0
ML-DSA-87,keygen-wall-ci95lo-ns,1106937.1
ML-DSA-87,keygen-wall-ci95hi-ns,1107902.2
ML-DSA-87,keygen-cyc-median,59683.0
ML-DSA-87,keygen-cyc-mean,59793.1
ML-DSA-87,keygen-persec,904.7
ML-DSA-87,sign-iters,2000
ML-DSA-87,sign-wall-median-ns,4139130.0
ML-DSA-87,sign-wall-mean-ns,5105729.4
